Rk,Player,Nationality,Position,Club,Age,Match Played,Starts,Minutes Played,Goals,Assist,Yellow Card,Red Card,2 Yellow Card,Penalty Kicks,Penalty Attempted,xG,xAG
1,Luis Abram,PER,DF,Granada,25,8,6,560,0,0,2,0,0,0,0,0.3,0
2,Marcos Acuña,ARG,DF,Sevilla,29,31,26,2260,1,3,10,0,0,0,0,1.2,2.9
3,Martin Agirregabiria,ESP,DF,Alavés,25,24,17,1616,0,1,4,0,0,0,0,0.2,0.7
4,Julen Agirrezabala,ESP,GK,Athletic Club,20,4,4,360,0,0,0,0,0,0,0,0,0
5,Sergio Agüero,ARG,FW,Barcelona,33,4,2,151,1,0,0,0,0,0,0,1,0.1
6,Álvaro Aguirre,ESP,FW,Rayo Vallecano,21,1,0,9,0,0,0,0,0,0,0,0,0
7,Joseph Aidoo,GHA,DF,Celta Vigo,25,32,30,2637,0,0,1,0,0,0,0,0.3,0.3
8,Carlos Akapo,EQG,DF,Cádiz,28,25,21,1844,0,0,4,0,0,0,0,0.5,0.3
9,Ilias Akhomach,ESP,FW,Barcelona,17,2,2,124,0,0,0,0,0,0,0,0.1,0.6
10,Paul Akouokou,CIV,MF,Betis,23,8,6,516,0,0,2,1,0,0,0,0,0.1
11,David Alaba,AUT,DF,Real Madrid,29,30,30,2642,2,3,2,0,0,0,0,1.6,2.2
12,Tomás Alarcón,CHI,MF,Cádiz,22,23,16,1425,0,1,5,0,0,0,0,1.1,1.1
13,Jordi Alba,ESP,DF,Barcelona,32,30,30,2644,2,10,11,0,0,0,0,1.5,7.1
14,Raúl Albiol,ESP,DF,Villarreal,35,28,28,2465,0,0,8,0,0,0,0,0.4,0.1
15,Paco Alcácer,ESP,FW,Villarreal,27,18,10,787,1,3,1,0,0,0,0,3.9,1.6
16,Rubén Alcaraz,ESP,MF,Cádiz,30,14,12,1105,2,0,7,0,0,0,0,1.3,0.9
17,Omar Alderete,PAR,DF,Valencia,24,29,28,2403,2,0,15,0,0,0,0,0.8,0.1
18,Iván Alejo,ESP,MFFW,Cádiz,26,20,11,1065,2,2,7,0,0,0,0,1.4,1.8
19,Carles Aleñá,ESP,MF,Getafe,23,33,30,2320,1,2,6,1,0,0,0,1.8,1.3
20,Hugo Álvarez,ESP,FW,Celta Vigo,18,1,0,11,0,0,0,0,0,0,0,0.2,0
21,Yeray Álvarez,ESP,DF,Athletic Club,26,22,21,1860,0,0,6,0,0,0,0,0.5,0.1
22,Dani Alves,BRA,DF,Barcelona,38,14,13,1098,1,3,2,1,0,0,0,0.3,2.3
23,Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,19,3,1,79,0,1,0,0,0,0,0,0,0.1
24,Amath,SEN,FWMF,Mallorca,25,19,9,884,0,1,5,0,0,0,0,1.4,0.9
25,Florin Andone,ROU,FW,Cádiz,28,5,1,176,0,0,1,0,0,0,0,0.2,0.1
26,José Ángel,ESP,DF,Osasuna,31,23,12,1083,1,1,2,1,0,0,0,0.2,1.5
27,Josep Antoni Gayá,ESP,DF,Mallorca,21,1,1,58,0,0,0,0,0,0,0,0,0
28,Mauro Arambarri,URU,MF,Getafe,25,31,31,2663,0,5,13,0,0,0,0,1.2,2.2
29,Néstor Araujo,MEX,DF,Celta Vigo,29,34,29,2617,0,0,4,0,0,0,0,0.3,0.2
30,Ronald Araújo,URU,DF,Barcelona,22,30,25,2272,4,0,6,0,0,0,0,1.5,1.2
31,Jesús Areso,ESP,DF,Osasuna,22,3,2,188,0,0,1,0,0,0,0,0,0
32,Matias Arezo,URU,FWMF,Granada,18,8,1,162,0,0,1,0,0,0,0,1,0.3
33,Santiago Arias,COL,DF,Granada,29,12,4,440,1,0,1,0,0,0,0,0.7,0.4
34,Santiago Arzamendia,PAR,MF,Cádiz,23,14,5,469,1,0,2,0,0,0,0,0.2,0
35,Sergio Asenjo,ESP,GK,Villarreal,32,6,6,540,0,0,1,0,0,0,0,0,0
36,Alejandro Asensio,ESP,FW,Rayo Vallecano,20,2,0,12,0,0,0,0,0,0,0,0,0
37,Marco Asensio,ESP,FWMF,Real Madrid,25,31,19,1731,10,0,2,0,0,0,0,7.5,2.4
38,Iago Aspas,ESP,FW,Celta Vigo,33,37,36,3087,18,5,9,0,0,3,5,14.1,5.9
39,Pierre-Emerick Aubameyang,GAB,FW,Barcelona,32,17,13,1082,11,1,0,0,0,0,0,7.8,1.1
40,Ludwig Augustinsson,SWE,DFFW,Sevilla,27,19,9,793,0,1,3,0,0,0,0,0.4,0.8
41,Serge Aurier,CIV,DF,Villarreal,28,19,10,1010,0,1,4,0,0,0,0,0.8,1.4
42,Ezequiel Ávila,ARG,FWMF,Osasuna,27,36,22,1870,6,1,9,1,1,1,1,4.3,1.6
43,Iddrisu Baba,GHA,MF,Mallorca,25,26,23,1934,1,0,9,0,0,0,0,1.4,0.6
44,Carlos Bacca,COL,FW,Granada,34,17,4,513,0,1,3,0,0,0,0,0.9,1.3
45,Édgar Badía,ESP,GK,Elche,29,24,24,2160,0,0,2,0,0,0,0,0,0
46,Miguel Baeza,ESP,DF,Celta Vigo,21,1,0,2,0,0,0,0,0,0,0,0,0
47,Alejandro Balde,ESP,DFFW,Barcelona,17,5,2,188,0,0,0,0,0,0,0,0,0
48,Gareth Bale,WAL,FW,Real Madrid,32,5,4,280,1,0,2,0,0,0,0,1.2,0.1
49,Mikel Balenziaga,ESP,DF,Athletic Club,33,26,23,2027,0,0,2,0,0,0,0,0.1,0.4
50,Iván Balliu,ALB,DF,Rayo Vallecano,29,35,35,3147,1,2,10,1,0,0,0,0.9,3.5
51,Barbero,ESP,FWMF,Osasuna,22,6,0,21,0,0,0,0,0,0,0,0,0
52,Barcia,ESP,DF,Granada,20,1,1,75,0,0,0,0,0,0,0,0,0
53,Enis Bardhi,MKD,MFFW,Levante,26,30,17,1701,3,3,3,0,0,2,2,3.9,3
54,Keidi Bare,ALB,MF,Espanyol,23,25,18,1481,1,1,9,0,0,0,0,0.3,0.5
55,Kike Barja,ESP,MFFW,Osasuna,24,21,9,865,2,0,2,0,0,0,0,1.5,0.5
56,Antonio Barragán,ESP,DF,Elche,34,16,12,1020,0,0,5,0,0,0,0,0,0.1
57,Ander Barrenetxea,ESP,FWMF,Real Sociedad,19,11,6,547,1,1,0,0,0,0,0,0.5,0.8
58,Marc Bartra,ESP,DF,Betis,30,23,23,1993,1,0,5,0,0,0,0,1.6,0.1
59,Álvaro Bastida,ESP,MF,Cádiz,17,6,2,197,0,0,1,0,0,0,0,0,0
60,Rodrigo Battaglia,ARG,MF,Mallorca,30,26,12,1179,0,0,4,0,0,0,0,0.4,0.1
61,Jon Bautista,ESP,MF,Real Sociedad,26,1,0,45,0,0,0,0,0,0,0,0.1,0
62,Bebé,CPV,FW,Rayo Vallecano,31,29,6,867,1,2,2,0,0,0,0,1.7,1.8
63,Héctor Bellerín,ESP,DF,Betis,26,23,22,1979,0,2,2,1,0,0,0,0.5,2.1
64,Fran Beltrán,ESP,MF,Celta Vigo,22,37,31,2597,1,0,4,0,0,0,0,0.4,0.3
65,Darío Benedetto,ARG,FWMF,Elche,31,14,6,590,2,1,1,0,0,0,0,2,0.9
66,Iker Benito,ESP,FWMF,Osasuna,18,4,1,118,0,0,1,0,0,0,0,0.1,0.1
67,Pedro Benito,ESP,FW,Cádiz,21,1,0,31,0,0,0,0,0,0,0,0,0
68,Karim Benzema,FRA,FW,Real Madrid,33,32,31,2593,27,12,0,0,0,7,11,23.7,7.9
69,Yuri Berchiche,ESP,DF,Athletic Club,31,14,11,1015,1,2,3,0,0,0,0,0.4,1.2
70,Álex Berenguer,ESP,MF,Athletic Club,26,34,24,2168,3,6,8,0,0,0,1,5.2,5.4
71,Pedro Bigas,ESP,DF,Elche,30,19,19,1551,1,0,6,0,0,0,0,0.6,0.3
72,Blanco,ESP,MF,Real Madrid,21,1,0,31,0,0,0,0,0,0,0,0,0
73,Yassine Bounou,MAR,GK,Sevilla,30,31,31,2790,0,2,2,0,0,0,0,0,0.6
74,Lucas Boyé,ARG,FW,Elche,25,24,22,1713,7,3,3,0,0,0,0,4.6,2
75,Martin Braithwaite,DEN,FW,Barcelona,30,4,3,235,2,1,0,0,0,0,0,0.9,1.2
76,Darko Brašanac,SRB,MF,Osasuna,29,35,27,2405,1,2,8,0,0,0,0,1.5,1.7
77,Claudio Bravo,CHI,GK,Betis,38,17,17,1456,0,0,2,0,0,0,0,0,0.1
78,Yan Brice Eteki,CMR,MF,Granada,23,12,2,343,0,0,3,0,0,0,0,0,0
79,Bryan,ESP,MFFW,Valencia,20,13,9,753,0,1,3,0,0,0,0,1.4,1.5
80,Ante Budimir,CRO,FW,Osasuna,30,28,20,1738,8,2,3,0,0,2,2,8.3,0.7
81,Sergio Busquets,ESP,MF,Barcelona,33,36,36,3198,2,0,12,0,0,0,0,0.6,1.7
82,Adrián Butzke,ESP,FW,Granada,22,1,0,1,0,0,0,0,0,0,0,0,0
